sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
13900.0,below_market,2016,10,Jeep,Wrangler,Sport,127000,Gas,Granite Crystal Metallic Clearcoat,Black,MI,678.0,detroit_mi,0,0
12395.0,below_market,2015,11,Jeep,Wrangler,Sahara,140742,Gas,Copper Brown Pearlcoat,Black,MI,645.0,detroit_mi,0,0
18988.0,below_market,2013,13,Jeep,Wrangler,Rubicon,42170,Gas,Bright White,Black/Dark Saddle Interior,CA,2674.0,san-francisco_ca,0,0
19869.0,below_market,2015,11,Jeep,Wrangler,Rubicon Hard Rock,102259,Gas,Bright White Clearcoat,Black,MI,605.0,detroit_mi,0,0
19500.0,near_market,2017,9,Jeep,Wrangler,Unlimited Sport,79271,Gas,Granite Crystal Metallic Clearcoat,Black,MI,641.0,detroit_mi,0,0
17900.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sport S (JK),89344,Gas,Black Clearcoat,Black,MA,40.0,boston_ma,0,0
18998.0,near_market,2017,9,Jeep,Wrangler,Unlimited Sport,120905,Gas,Rhino Clearcoat,Black,MA,0.0,boston_ma,0,0
17975.0,near_market,2017,9,Jeep,Wrangler,Unlimited Sport,94850,Gas,Bright White Clearcoat,Black,MA,30.0,boston_ma,0,0
20998.0,below_market,2016,10,Jeep,Wrangler,Unlimited Sport,44463,Gas,Bright White Clearcoat,Black,CA,2663.0,san-francisco_ca,0,0
19995.0,near_market,2017,9,Jeep,Wrangler,Unlimited Sport,81312,Gas,Black Clearcoat,Black,MA,11.0,boston_ma,0,0
20999.0,below_market,2018,8,Jeep,Wrangler,Unlimited Willys Wheeler (JK),85192,Gas,Bright White Clearcoat,Black,WA,2475.0,seattle_wa,0,0
11816.0,below_market,2015,11,Jeep,Wrangler,Unlimited Sport,175569,Gas,Black Clearcoat,Black,TX,1697.0,austin_tx,0,0
17990.0,below_market,2014,12,Jeep,Wrangler,Unlimited Sport,81371,Gas,Flame Red Clearcoat,Black,CA,2665.0,san-francisco_ca,0,0
12977.0,below_market,2015,11,Jeep,Wrangler,Unlimited Sport,141436,Gas,Bright White Clearcoat,Black,GA,906.0,atlanta_ga,0,0
17249.0,below_market,2017,9,Jeep,Wrangler,Unlimited Sport,77109,Gas,Black Clearcoat,Black,MA,34.0,boston_ma,0,0
17662.0,below_market,2017,9,Jeep,Wrangler,Unlimited Sport,84824,Gas,Firecracker Red Clearcoat,Black,MA,5.0,boston_ma,0,0
20000.0,below_market,2017,9,Jeep,Wrangler,Unlimited Willys Wheeler,89993,Gas,Rhino Clearcoat,Black,WA,2474.0,seattle_wa,0,0
16450.0,below_market,2015,11,Jeep,Wrangler,Unlimited Sport,109069,Gas,Baja Yellow Clearcoat,Black,GA,949.0,atlanta_ga,0,0
17270.0,below_market,2018,8,Jeep,Wrangler,Unlimited Altitude (JK),105698,Gas,Rhino Clearcoat,Black,MA,44.0,boston_ma,0,0
15300.0,below_market,2013,13,Jeep,Wrangler,Unlimited Sahara,93282,Gas,Black,Black Interior,MI,625.0,detroit_mi,0,0
22395.0,below_market,2017,9,Jeep,Wrangler,Unlimited Sahara,30065,Gas,Granite Crystal Metallic Clearcoat,Black,IL,862.0,chicago_il,0,0
18873.0,below_market,2015,11,Jeep,Wrangler,Unlimited Altitude,77482,Gas,Black Clearcoat,Black,IL,864.0,chicago_il,0,0
